parameterization_id,iteration_number,sim_id,likelihood,ART Link Max,ART Link Mid,All: Infmrl Condoms Late,All: LOW Risk,All: Trns Condoms Late,Base Infectivity,Circumcision Reduced Acquire,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Dur Het,Male To Female Old,Male To Female Young,Max Infmrl F LOW,Max Infmrl F MED,Max Infmrl M LOW,Max Infmrl M MED,Max Mrtl F ME,Max Mrtl M ME,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Pr Ex Infmrl Fem LOW,Pr Ex Infmrl Fem MED,Pr Ex Infmrl Male LOW,Pr Ex Infmrl Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,PreART Link Max,PreART Link Mid,PreART Link Min,Risk Assortivity,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,run_number
84,36,f6f53d17-d703-e911-a2bd-c4346bcb1555,95.79935478,1,2005.518614,0.648631162,0.93117752,0.221129873,0.001515755,0.6,0.401026249,0.000799242,1997.767571,2.061208743,0.676863729,2.33926153,2.63423943,1.639419217,0.918905319,1.798207734,0.815538616,1.196085345,0.950797573,1.527610459,3.10338715,1.437071853,3.136694103,0.199324262,1995.400478,3.807494456,0.000104272,0.082594936,0.388199036,0.44572141,0.395286229,0.072445505,0.548074665,0.159860431,0.543479402,0.915681605,1997.459967,0.590100823,0.471366794,1991,0.075294968,16.47966513,0.062560394,16.23571057,0.580206995,2005.103708,1.636319424,0.001366367,61876
85,49,4059fb39-8e0e-e911-a2bd-c4346bcb1555,95.79901554,1,2005.581412,0.578628489,0.949926703,0.142631775,0.001517166,0.6,0.289246094,0.000733411,1997.680331,2.443969546,0.742606667,2.714224922,3.291171835,1.59954289,0.928372672,1.685054687,0.715691772,1.081950369,0.988592704,1.518453271,3.086468729,1.570029535,2.926724038,0.181632847,1993.227469,3.563318397,0.000110244,0.113368172,0.375078361,0.537834484,0.34457494,0.063970451,0.687773036,0.092370229,0.702591331,1,1998.147073,0.611858843,0.466256181,1991,0.043288234,16.6898012,0.024500475,16.52148466,0.668113615,2006.228979,2.030741452,0.001401194,29635
86,30,f18d0f18-8bfd-e811-a2bd-c4346bcb1555,95.79869087,1,2005.886326,0.586184687,0.935651482,0.231285645,0.001468256,0.6,0.364299211,0.000971731,1999.535374,1.865013803,0.677969489,2.307667529,3.763543723,1.717316102,0.893085901,1.687900728,0.672233009,1.266236306,0.917971926,1.460244313,3.183365518,1.531957909,2.6535269,0.237996903,1995.360296,3.482127591,0.000110921,0.030562477,0.376971306,0.474794862,0.383501617,0.100949861,0.572146243,0.198320774,0.57500538,0.838890766,1999.143318,0.614828932,0.473078756,1991,0.054184633,16.19003661,0.044746403,16.76720591,0.569332668,2006.834815,1.820890239,0.001253158,1943
87,27,61d097fc-26fd-e811-a2bd-c4346bcb1555,95.79865778,1,2005.758166,0.558820106,0.935314981,0.229402454,0.001521124,0.6,0.37360452,0.001031297,1999.982683,1.821842214,0.672225975,2.340167758,4.298149683,1.763786051,1.016778071,1.705190616,0.641284181,1.258769044,0.919838658,1.419755551,3.107561189,1.551487568,2.498263019,0.255570807,1995.378685,3.747900868,0.00010845,0.041544515,0.388685598,0.474644736,0.408106895,0.09809325,0.531011163,0.215924683,0.580264681,0.820938388,1999.995237,0.682380853,0.49194023,1991,0.049914077,16.12221624,0.021061445,16.85899296,0.561712899,2007.400941,1.912309587,0.001246379,34854
88,32,9a2acdcb-0802-e911-a2bd-c4346bcb1555,95.79838572,0.988064872,2005.865182,0.612497597,0.931002637,0.201432698,0.001504436,0.6,0.409881501,0.000978169,1998.535826,1.857318535,0.705420855,2.135482021,3.684580996,1.756020224,0.848307085,1.744691097,0.715477709,1.289028528,0.924430178,1.478580501,3.158886514,1.473290609,2.882585031,0.221694447,1994.004282,3.647768811,0.00011564,0.087957522,0.385808405,0.427541914,0.405559392,0.08543746,0.569374719,0.187114534,0.642057112,0.820970562,1998.831893,0.641630053,0.451170394,1991,0.068345062,16.47285889,0.053072338,16.17708773,0.637654617,2007.374066,1.979924028,0.001243214,63874
89,37,fdcdd1f6-e703-e911-a2bd-c4346bcb1555,95.79826046,1,2005.578882,0.583764638,0.937625049,0.182597282,0.001457223,0.6,0.328874041,0.000920861,1998.094639,2.003655233,0.672067325,2.365550529,3.112121507,1.687159022,0.858460658,1.789074328,0.757579667,1.155953551,0.935013922,1.506959244,2.952694283,1.509629688,3.207146141,0.179026619,1994.483378,3.87283306,0.000103795,0.068628926,0.404692685,0.409405976,0.392911143,0.064790329,0.535660537,0.169311484,0.59950617,0.913491694,1997.798028,0.632887771,0.483437903,1991,0.058946472,16.5526328,0.076758265,16.24134264,0.615839018,2005.623968,1.840642151,0.001417319,49040
90,29,c559dff9-48fd-e811-a2bd-c4346bcb1555,95.79792413,1,2006.0749,0.644586221,0.92828145,0.259068512,0.001566701,0.6,0.393117255,0.000961039,1999.24752,1.846642843,0.733293253,2.282830283,3.862886863,1.745892106,0.998430232,1.739098825,0.748494742,1.238917013,0.9,1.43964565,3.106962361,1.552735148,2.571353889,0.252789215,1995.639053,3.53409822,0.000116032,0.012626992,0.37036883,0.479296053,0.407851979,0.097529881,0.576849681,0.212220695,0.572781709,0.870152936,1998.848913,0.632419993,0.472750095,1991,0.058379394,16.39080728,0.045929303,16.99329921,0.556171255,2007.179212,1.909168143,0.001160909,2748
91,31,2bc6a2ba-f901-e911-a2bd-c4346bcb1555,95.79789821,1,2006.331235,0.555352892,0.936901518,0.247288094,0.001565445,0.6,0.394219005,0.000947642,2000.168179,1.884536907,0.725332767,2.203539096,3.269350003,1.687743805,0.86967827,1.744240364,0.703324744,1.328477646,0.9,1.50354712,3.15435961,1.477787643,2.706710755,0.233277509,1995.335989,3.707156934,0.000110976,0.057486468,0.361050549,0.46256581,0.36544468,0.096057183,0.600027865,0.180423068,0.574937513,0.841328622,1998.715005,0.602803253,0.483972761,1991,0.055684651,16.27877885,0.049903197,16.75533892,0.590030154,2007.398236,2.010674522,0.001200412,8030
92,28,3d0c361b-38fd-e811-a2bd-c4346bcb1555,95.79738044,1,2005.669176,0.5734307,0.936531457,0.200034875,0.001531189,0.6,0.410316452,0.001092593,2000.04096,1.816749111,0.661369805,2.385242754,4.374014523,1.69375617,1.02022608,1.71891294,0.626093733,1.263416899,0.9,1.372064774,3.118430138,1.568567561,2.564128903,0.254839747,1995.486954,3.742715664,0.000107813,0.041199448,0.374804128,0.496404785,0.414206285,0.105253932,0.547406004,0.225915442,0.57420886,0.846485454,2000.240213,0.707936557,0.464748692,1991,0.031923858,15.92979016,0.036703348,16.83909457,0.536810795,2008.220921,2.003542579,0.001235492,21998
93,44,247da518-a00a-e911-a2bd-c4346bcb1555,95.79729405,0.982144756,2005.987485,0.587369404,0.944096031,0.152267521,0.001507601,0.6,0.37924474,0.000912203,1999.26384,2.334980007,0.747079988,2.518402356,2.953676741,1.641026622,0.83469767,1.669324969,0.843180987,1.112736335,0.9,1.465165454,2.96410805,1.50814992,3.092668234,0.167756891,1993.661814,3.448764911,0.000109053,0.116914579,0.377242503,0.520346748,0.385274017,0.048096581,0.646302018,0.123373713,0.619939752,0.947368935,1997.739325,0.638346882,0.387857997,1991,0.057374206,16.71296953,0.046499973,16.22008536,0.679428666,2007.205562,2.076788635,0.001442645,50019
94,35,100bb108-6f03-e911-a2bd-c4346bcb1555,95.79710238,1,2006.03644,0.647755692,0.932835554,0.207255696,0.001509659,0.6,0.374656243,0.000802966,1997.940951,2.01715096,0.681916915,2.217496321,2.899857163,1.680390829,0.887963687,1.774940288,0.777226259,1.263137332,0.957095993,1.518657125,3.080570169,1.435305504,3.01549878,0.191145588,1995.251746,3.664119383,0.000108344,0.075263525,0.413318151,0.414424915,0.376999401,0.070334141,0.573543642,0.165664322,0.591747699,0.866164054,1998.282481,0.629759303,0.502562867,1991,0.062628879,16.48810159,0.044445908,16.59185276,0.605674416,2006.083812,2.00506268,0.001399348,46822
95,44,1704fef8-9d0a-e911-a2bd-c4346bcb1555,95.79692381,1,2005.980703,0.616589564,0.937911034,0.10992092,0.001459727,0.6,0.322737734,0.000857128,1998.278459,2.406742407,0.715779144,2.588900313,3.264621958,1.614906984,0.925391868,1.697643028,0.796923084,1.060555151,0.9,1.466211748,3.053306997,1.49464762,3.065841146,0.173534378,1993.47836,3.507862356,0.000104837,0.087482711,0.365508165,0.538400902,0.355730298,0.051294346,0.664170313,0.119721414,0.626533621,0.952087607,1997.638671,0.658619512,0.421683622,1991,0.059627358,16.42567441,0.042229015,16.22723742,0.667757533,2008.672119,2.111174485,0.001356407,6650
